カクテル名,甘辛,飲時,グラス,甘辛A,甘辛B,甘辛C,甘辛D,甘辛E,飲時前,飲時後,飲時全,グラスS,グラスM,グラスm,グラスG
ﾄｷｵ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ｽﾋﾟﾘﾀｽ･ｿｰﾀﾞ,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
ｽｸﾘｭｰﾄﾞﾗｲﾊﾞｰ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ｿﾙﾃｨﾄﾞｯｸ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ﾙｼｱﾝ,D,後,S,0,0,0,1,0,0,1,0,1,0,0,0
ﾓｽｺｰ･ﾐｭｰﾙ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｷｽ･ｵﾌﾞ･ﾌｧｲﾔｰ,B,後,S,0,1,0,0,0,0,1,0,1,0,0,0
ｶﾐｶｾﾞ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾊｲﾗｲﾌ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾊｰﾍﾞｰ･ｳｫｰﾙﾊﾞﾝｶﾞｰ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ｶﾞﾙﾌｽﾄﾘｰﾑ,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ｺﾞｯﾄﾏｻﾞｰ,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
ﾚｯﾄﾞ･ﾊﾞｰﾄﾞ,D,前,G,0,0,0,1,0,1,0,0,0,0,0,1
ﾁﾁ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ﾌﾞﾙ･ｼｮｯﾄ,E,前,S,0,0,0,0,1,1,0,0,1,0,0,0
ﾌﾞﾗｯﾃﾞｨ･ﾒｱﾘｰ,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ﾌﾞﾗﾃﾞｨｰ･ﾌﾞﾙ1,E,前,G,0,0,0,0,1,1,0,0,0,0,0,1
ﾌﾞﾗｯｸ･ﾙｼｱﾝ,B,後,G,0,1,0,0,0,0,1,0,0,0,0,1
ﾊﾞﾗﾗｲｶ,D,全,S,0,0,0,1,0,0,0,1,1,0,0,0
ﾏｲ東京,B,全,S,0,1,0,0,0,0,0,1,1,0,0,0
ｳｨｽｷｰｻﾜｰ,C,全,S,0,0,1,0,0,0,0,1,1,0,0,0
ｳｨｽｷｰｿｰﾀﾞ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｳｲｽｷｰ･ﾐｽﾄ,E,全,G,0,0,0,0,1,0,0,1,0,0,0,1
ｳｨｽｷｰﾌﾛｰﾄ,D,全,G,0,0,0,1,0,0,0,1,0,0,0,1
ｽｺｯﾁ･ｷﾙﾄ,C,全,M,0,0,1,0,0,0,0,1,0,1,0,0
ﾗｽﾃｨ･ﾈｰﾙ,A,後,G,1,0,0,0,0,0,1,0,0,0,0,1
ﾛﾌﾞﾛｲ,D,前,M,0,0,0,1,0,1,0,0,0,1,0,0
